title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Blue Suede Shoes,Elvis Presley,0.557,0.66,2.0,-7.706,1.0,0.056,0.654,1.66e-06,0.138,0.962,95.252,audio_features,47gmoUrZV3w20JAnQOZMcO,spotify:track:47gmoUrZV3w20JAnQOZMcO,https://api.spotify.com/v1/tracks/47gmoUrZV3w20JAnQOZMcO,https://api.spotify.com/v1/audio-analysis/47gmoUrZV3w20JAnQOZMcO,119200.0,4.0
Carl Perkins' Cadillac - Live,Mike Cooley,0.422,0.463,5.0,-7.265,1.0,0.0315,0.62,1.93e-05,0.991,0.421,126.945,audio_features,1Cp3Cv1oEqWebCs3YdjGe2,spotify:track:1Cp3Cv1oEqWebCs3YdjGe2,https://api.spotify.com/v1/tracks/1Cp3Cv1oEqWebCs3YdjGe2,https://api.spotify.com/v1/audio-analysis/1Cp3Cv1oEqWebCs3YdjGe2,357136.0,4.0
Matchbox (with Johnny Cash & Carl Perkins),Derek & The Dominos,0.274,0.901,2.0,-6.682,1.0,0.0809,0.569,0.000937,0.853,0.912,185.293,audio_features,5tfpRDknG17dA6hIdlCKw0,spotify:track:5tfpRDknG17dA6hIdlCKw0,https://api.spotify.com/v1/tracks/5tfpRDknG17dA6hIdlCKw0,https://api.spotify.com/v1/audio-analysis/5tfpRDknG17dA6hIdlCKw0,168853.0,4.0
That's Right,Carl Perkins,0.584,0.588,8.0,-12.388,1.0,0.0591,0.609,0.0013,0.0555,0.811,151.851,audio_features,47QX0b8RYTJNXyHT8WSV5Y,spotify:track:47QX0b8RYTJNXyHT8WSV5Y,https://api.spotify.com/v1/tracks/47QX0b8RYTJNXyHT8WSV5Y,https://api.spotify.com/v1/audio-analysis/47QX0b8RYTJNXyHT8WSV5Y,167468.0,4.0
Boppin' The Blues,Carl Perkins,0.776,0.902,2.0,-7.464,1.0,0.0999,0.462,3.94e-05,0.0712,0.677,87.839,audio_features,0wNnwLgq5N9lWYib8eUnu6,spotify:track:0wNnwLgq5N9lWYib8eUnu6,https://api.spotify.com/v1/tracks/0wNnwLgq5N9lWYib8eUnu6,https://api.spotify.com/v1/audio-analysis/0wNnwLgq5N9lWYib8eUnu6,167840.0,4.0
Restless,Carl Perkins,0.652,0.649,7.0,-13.654,1.0,0.0841,0.462,3.29e-06,0.529,0.754,120.901,audio_features,3f9RPMNDowwjyA6v4xTn39,spotify:track:3f9RPMNDowwjyA6v4xTn39,https://api.spotify.com/v1/tracks/3f9RPMNDowwjyA6v4xTn39,https://api.spotify.com/v1/audio-analysis/3f9RPMNDowwjyA6v4xTn39,165133.0,4.0
Right Back Where We Started From,Maxine Nightingale,0.692,0.653,5.0,-5.715,1.0,0.0392,0.49,0.00656,0.455,0.901,148.017,audio_features,6208B8Utmd2fTqgGMjeNr6,spotify:track:6208B8Utmd2fTqgGMjeNr6,https://api.spotify.com/v1/tracks/6208B8Utmd2fTqgGMjeNr6,https://api.spotify.com/v1/audio-analysis/6208B8Utmd2fTqgGMjeNr6,192267.0,4.0
Right Back Where We Started From,Maxine Nightingale,0.692,0.653,5.0,-5.715,1.0,0.0392,0.49,0.00707,0.455,0.901,148.018,audio_features,00s8dO3RWrFkBqC9JIy6ag,spotify:track:00s8dO3RWrFkBqC9JIy6ag,https://api.spotify.com/v1/tracks/00s8dO3RWrFkBqC9JIy6ag,https://api.spotify.com/v1/audio-analysis/00s8dO3RWrFkBqC9JIy6ag,192267.0,4.0
Lead Me On,Maxine Nightingale,0.417,0.46,1.0,-11.07,1.0,0.0316,0.811,0.00068,0.126,0.55,140.626,audio_features,6RXlKsUmQgykm0Qt9DANwF,spotify:track:6RXlKsUmQgykm0Qt9DANwF,https://api.spotify.com/v1/tracks/6RXlKsUmQgykm0Qt9DANwF,https://api.spotify.com/v1/audio-analysis/6RXlKsUmQgykm0Qt9DANwF,165707.0,4.0
Hideaway,Maxine Nightingale,0.665,0.862,9.0,-5.913,0.0,0.0445,0.55,1e-06,0.32,0.852,124.875,audio_features,3fBqmLBD96qUIPqnZCxyCk,spotify:track:3fBqmLBD96qUIPqnZCxyCk,https://api.spotify.com/v1/tracks/3fBqmLBD96qUIPqnZCxyCk,https://api.spotify.com/v1/audio-analysis/3fBqmLBD96qUIPqnZCxyCk,355893.0,4.0
Right Back Where We Started - Re-Recorded,Maxine Nightingale,0.699,0.679,5.0,-5.244,1.0,0.0348,0.0158,0.0,0.192,0.874,146.09,audio_features,44obnBcMDRQItQc1GfATQg,spotify:track:44obnBcMDRQItQc1GfATQg,https://api.spotify.com/v1/tracks/44obnBcMDRQItQc1GfATQg,https://api.spotify.com/v1/audio-analysis/44obnBcMDRQItQc1GfATQg,189520.0,4.0
